fam,x,y,z
1_1_1,643538.706,3408833.490,60.772
1_1_8,643530.989,3408828.741,62.974
1_1_12,643529.649,3408822.211,63.234
1_1_18,643540.481,3408818.397,65.808
1_5_12,643527.622,3408836.997,69.443
1_5_14,643525.698,3408829.756,66.344
1_5_11,643524.109,3408823.860,64.973
1_5_5,643521.668,3408838.417,62.993
1_5_4,643515.091,3408839.590,62.994
1_5_16,643513.424,3408833.502,64.591
1_5_2,643511.623,3408826.630,65.006
1_5_3,643505.079,3408827.755,65.331
1_5_8,643507.841,3408834.688,64.378
1_5_10,643509.766,3408841.929,63.261
1_5_7,643504.209,3408843.547,62.817
1_9_10,643498.608,3408844.972,63.110
1_9_9,643494.151,3408831.568,69.805
1_9_11,643491.980,3408846.352,68.892
1_9_8,643490.087,3408839.175,70.219
1_9_17,643488.434,3408833.215,69.597
1_9_20,643482.888,3408835.279,69.261
1_9_16,643484.822,3408841.818,69.266
1_9_5,643486.539,3408847.747,67.262
1_9_1,643480.739,3408849.601,66.606
1_9_15,643478.599,3408842.932,68.288
1_9_12,643476.522,3408837.525,67.461
1_9_19,643471.936,3408838.533,65.955
1_9_13,643474.297,3408844.327,65.707
1_13_18,643470.388,3408853.533,62.824
1_13_16,643468.365,3408846.418,64.249
1_13_6,643466.599,3408839.371,66.608
1_13_2,643462.555,3408849.086,64.383
1_13_8,643464.333,3408855.239,63.144
1_13_12,643456.510,3408850.026,63.925
1_13_1,643454.407,3408844.188,64.713
1_14_13,643464.960,3408832.389,67.409
1_14_15,643462.895,3408826.104,65.671
1_14_4,643456.452,3408828.029,67.848
1_14_6,643460.638,3408819.753,65.257
1_14_11,643454.936,3408821.432,68.386
1_14_14,643449.181,3408822.345,65.055
1_14_17,643458.551,3408812.637,68.528
1_14_7,643453.455,3408814.676,66.905
1_15_10,643456.464,3408805.586,68.317
1_11_2,643461.230,3408804.309,68.680
1_10_14,643469.591,3408831.557,60.533
1_15_11,643445.060,3408809.073,66.396
1_15_6,643443.298,3408801.706,66.216
1_15_2,643448.644,3408800.182,67.045
1_15_9,643454.878,3408799.499,67.240
1_15_3,643452.860,3408792.065,66.584
1_15_18,643446.674,3408793.962,67.370
1_15_19,643445.616,3408786.732,65.954
1_15_14,643451.028,3408785.081,64.462
1_11_15,643456.816,3408784.137,65.051
1_16_20,643449.195,3408778.256,64.998
1_16_16,643443.301,3408779.933,64.523
1_16_13,643441.188,3408772.434,61.365
1_16_4,643447.306,3408770.729,61.570
1_16_7,643444.913,3408764.950,59.996
1_16_9,643438.478,3408766.300,60.005
1_16_17,643437.224,3408759.324,54.074
1_16_6,643442.981,3408758.347,53.717
1_16_15,643431.975,3408760.786,52.324
1_12_18,643449.040,3408756.864,54.497
1_12_17,643471.072,3408749.849,61.449
1_12_3,643475.484,3408762.965,59.420
1_12_6,643476.767,3408770.198,61.648
1_11_8,643463.001,3408782.304,65.714
1_11_1,643467.830,3408781.028,64.571
1_11_19,643473.756,3408779.384,61.676
1_11_11,643469.483,3408786.988,66.493
1_11_14,643475.954,3408785.351,64.012
1_11_9,643483.820,3408796.886,66.068
1_10_3,643485.971,3408803.970,66.362
1_10_16,643488.097,3408810.543,64.976
1_10_10,643492.082,3408824.420,63.369
1_8_4,643481.865,3408762.077,59.982
1_8_5,643486.747,3408760.435,61.586
1_8_17,643485.022,3408753.899,62.368
1_8_3,643491.345,3408752.515,62.597
1_8_10,643498.506,3408758.022,63.610
1_8_18,643497.270,3408750.966,63.931
1_8_13,643503.058,3408748.777,64.453
1_2_1,643538.698,3408812.563,61.048
1_2_20,643536.814,3408804.748,61.478
1_2_12,643535.614,3408798.474,64.527
2_9_2,643469.553,3408743.507,60.315
2_9_6,643464.014,3408744.997,60.198
2_9_14,643475.184,3408742.242,63.753
2_9_18,643481.112,3408740.438,64.871
2_9_4,643487.106,3408738.507,65.990
2_5_19,643492.379,3408737.620,65.338
2_5_6,643498.527,3408736.170,67.751
2_5_1,643504.387,3408734.620,66.584
2_5_20,643509.935,3408732.428,66.998
2_5_15,643515.772,3408730.176,64.930
2_9_19,643458.317,3408724.840,61.485
2_13_6,643452.779,3408726.298,61.693
2_13_20,643447.048,3408727.754,60.258
2_13_1,643441.443,3408729.466,59.491
2_9_12,643464.022,3408722.905,63.451
2_9_20,643469.880,3408721.451,65.127
2_9_17,643475.484,3408719.866,67.846
2_5_13,643487.080,3408716.446,67.900
2_5_3,643492.582,3408715.338,70.175
2_14_16,643439.681,3408722.036,58.134
2_14_12,643445.287,3408720.323,60.183
2_14_13,643450.426,3408719.945,59.057
2_10_14,643457.964,3408717.684,61.735
2_10_7,643462.862,3408716.089,64.857
2_10_2,643467.632,3408714.429,66.702
2_10_13,643473.555,3408712.976,67.368
2_10_10,643478.452,3408711.510,68.208
2_6_14,643484.695,3408710.125,61.227
2_6_17,643490.619,3408708.544,67.987
2_2_4,643519.726,3408700.889,58.847
2_2_16,643517.705,3408693.679,61.828
2_2_3,643515.976,3408686.249,60.023
2_6_5,643498.216,3408692.364,63.872
2_14_6,643447.272,3408706.303,59.791
2_10_12,643453.138,3408704.306,61.144
2_10_8,643459.097,3408702.566,65.070
2_10_17,643464.796,3408701.015,63.386
2_10_4,643470.591,3408699.528,65.560
2_10_16,643475.738,3408698.575,60.221
2_6_1,643482.094,3408695.947,61.494
2_6_15,643486.794,3408694.765,59.855
2_6_2,643492.361,3408693.530,67.956
2_15_10,643444.308,3408692.854,62.837
2_11_2,643450.049,3408690.569,60.264
2_11_13,643455.715,3408689.144,61.024
2_11_9,643471.756,3408684.475,66.178
2_7_11,643476.715,3408683.136,60.396
2_7_1,643483.183,3408681.659,62.038
2_3_15,643511.979,3408673.297,70.944
2_2_19,643514.225,3408680.479,60.908
2_3_7,643509.597,3408666.657,63.089
2_11_18,643464.257,3408679.011,66.129
2_11_17,643453.651,3408682.747,60.444
2_11_5,643447.727,3408684.328,64.105
2_15_9,643441.410,3408685.201,65.079
2_15_2,643436.515,3408687.801,66.326
